Organisation ID,Organisation Name,Segment,Created At,Is Test,Is Demo
ORG001,Northstar Org 001,Mid-Market,2025-01-24 00:00,0,0
ORG002,Northstar Org 002,Enterprise,2025-04-05 00:00,0,0
ORG003,Northstar Org 003,SME,2025-11-24 00:00,0,0
ORG004,Northstar Org 004,SME,2025-02-19 00:00,0,0
ORG005,Northstar Org 005,Mid-Market,2025-01-03 00:00,0,0
ORG006,Northstar Org 006,Enterprise,2025-09-20 00:00,0,0
ORG007,Northstar Org 007,Enterprise,2025-04-23 00:00,0,0
ORG008,Northstar Org 008,Mid-Market,2025-09-14 00:00,0,0
ORG009,Northstar Org 009,Enterprise,2025-10-09 00:00,0,0
ORG010,Northstar Org 010,SME,2025-01-25 00:00,0,0
ORG011,Northstar Org 011,SME,2025-12-14 00:00,0,0
ORG012,Northstar Org 012,Mid-Market,2025-03-07 00:00,0,0
ORG013,Northstar Org 013,SME,2025-06-04 00:00,0,0
ORG014,Northstar Org 014,Enterprise,2025-02-12 00:00,0,0
ORG015,Northstar Org 015,SME,2025-10-09 00:00,0,0
ORG016,Northstar Org 016,SME,2025-12-15 00:00,0,0
ORG017,Northstar Org 017,Mid-Market,2025-07-03 00:00,0,0
ORG018,Northstar Org 018,Mid-Market,2025-11-20 00:00,0,0
ORG019,Northstar Org 019,SME,2025-06-19 00:00,0,0
ORG020,Northstar Org 020,Enterprise,2025-02-02 00:00,0,0
ORG021,Northstar Org 021,Mid-Market,2025-05-03 00:00,0,0
ORG022,Northstar Org 022,SME,2025-02-13 00:00,0,0
ORG023,Northstar Org 023,Enterprise,2025-11-27 00:00,0,0
ORG024,Northstar Org 024,Mid-Market,2025-06-12 00:00,0,0
ORG025,Northstar Org 025,Enterprise,2025-05-23 00:00,0,0
ORG026,Northstar Org 026,SME,2025-11-03 00:00,0,0
ORG027,Northstar Org 027,Mid-Market,2025-03-18 00:00,0,0
ORG028,Northstar Org 028,SME,2025-03-15 00:00,0,0
ORG029,Northstar Org 029,Mid-Market,2025-11-23 00:00,0,0
ORG030,Northstar Org 030,Mid-Market,2025-11-11 00:00,0,0
ORG031,Northstar Org 031,SME,2025-01-08 00:00,0,0
ORG032,Northstar Org 032,SME,2025-06-13 00:00,0,0
ORG033,Northstar Org 033,Enterprise,2025-04-19 00:00,0,0
ORG034,Northstar Org 034,SME,2025-06-07 00:00,0,0
ORG035,Northstar Org 035,Mid-Market,2025-07-21 00:00,0,0
ORG036,Northstar Org 036,Mid-Market,2025-05-05 00:00,0,0
ORG037,Northstar Org 037,Enterprise,2025-09-18 00:00,0,0
ORG038,Northstar Org 038,Enterprise,2025-10-14 00:00,0,0
ORG039,Northstar Org 039,SME,2025-07-12 00:00,0,0
ORG040,Northstar Org 040,Enterprise,2025-03-17 00:00,0,0
ORG041,Northstar Org 041,Mid-Market,2025-01-28 00:00,0,0
ORG042,Northstar Org 042,Enterprise,2025-11-06 00:00,0,0
ORG043,Northstar Org 043,SME,2025-07-20 00:00,0,0
ORG044,Northstar Org 044,Enterprise,2025-07-20 00:00,0,0
ORG045,Northstar Org 045,SME,2025-09-09 00:00,0,0
ORG046,Northstar Org 046,SME,2025-01-22 00:00,0,0
ORG047,Northstar Org 047,SME,2025-11-18 00:00,0,0
ORG048,Northstar Org 048,SME,2025-11-11 00:00,0,0
ORG049,Northstar Org 049,Enterprise,2025-07-06 00:00,0,0
ORG050,Northstar Org 050,Mid-Market,2025-12-24 00:00,0,0
ORG051,Northstar Org 051,Enterprise,2025-09-25 00:00,0,0
ORG052,Northstar Org 052,Enterprise,2025-02-28 00:00,0,0
ORG053,Northstar Org 053,Mid-Market,2025-11-17 00:00,0,0
ORG054,Northstar Org 054,Mid-Market,2025-03-12 00:00,0,0
ORG055,Northstar Org 055,SME,2025-09-25 00:00,0,0
ORG056,Northstar Org 056,SME,2025-01-20 00:00,0,0
ORG057,Northstar Org 057,Mid-Market,2025-01-04 00:00,0,0
ORG058,Northstar Org 058,SME,2025-05-08 00:00,0,0
ORG059,Northstar Org 059,Enterprise,2025-10-03 00:00,0,0
ORG060,Northstar Org 060,Enterprise,2025-08-27 00:00,0,0
ORG061,Northstar Org 061,Enterprise,2025-09-25 00:00,0,0
ORG062,Northstar Org 062,Enterprise,2025-11-16 00:00,0,0
ORG063,Northstar Org 063,SME,2025-03-09 00:00,0,0
ORG064,Northstar Org 064,Mid-Market,2025-10-14 00:00,0,0
ORG065,Northstar Org 065,SME,2025-09-25 00:00,0,0
ORG066,Northstar Org 066,SME,2025-04-23 00:00,0,0
ORG067,Northstar Org 067,Mid-Market,2025-11-21 00:00,0,0
ORG068,Northstar Org 068,Mid-Market,2025-09-15 00:00,0,0
ORG069,Northstar Org 069,Enterprise,2025-04-03 00:00,0,0
ORG070,Northstar Org 070,Mid-Market,2025-10-18 00:00,0,0
ORG071,Northstar Org 071,Enterprise,2025-04-01 00:00,0,0
ORG072,Northstar Org 072,Enterprise,2025-11-02 00:00,0,0
ORG073,Test Org 073,Enterprise,2025-01-28 00:00,1,0
ORG074,Test Org 074,Mid-Market,2025-09-08 00:00,1,0
ORG075,Test Org 075,Enterprise,2025-08-07 00:00,1,0
ORG076,Demo Org 076,Mid-Market,2025-12-19 00:00,0,1
ORG077,Demo Org 077,Mid-Market,2025-04-26 00:00,0,1
ORG078,Demo Org 078,Mid-Market,2025-07-07 00:00,0,1
ORG079,Northstar Org 079,Enterprise,2025-11-14 00:00,0,0
ORG080,Northstar Org 080,Mid-Market,2025-07-15 00:00,0,0
