Message ID,Thread ID,User ID,Organisation ID,Timestamp,Message Type
MSG005025,THR01199,USR0261,ORG078,2026-08-09 18:30,question
MSG000613,THR00165,USR0216,ORG064,2026-02-12 19:32,question
MSG004991,THR01191,USR0032,ORG012,2026-08-30 08:24,question
MSG004632,THR01122,USR0172,ORG051,2026-08-13 11:53,assistant_response
MSG004780,THR01151,USR0012,ORG004,2026-08-11 20:11,assistant_response
MSG001887,THR00487,USR0112,ORG036,2026-04-07 13:42,question
MSG004897,THR01174,USR0005,ORG002,2026-08-04 21:41,question
MSG005052,THR01204,USR0028,ORG011,2026-08-14 18:15,assistant_response
MSG003769,THR00926,USR0180,ORG054,2026-07-10 21:55,question
MSG002767,THR00699,USR0170,ORG050,2026-06-07 13:13,question
MSG000187,THR00056,USR0111,ORG036,2026-01-27 11:40,question
MSG005220,THR01247,USR0156,ORG047,2026-08-03 12:07,assistant_response
MSG003713,THR00912,USR0083,ORG027,2026-07-23 16:29,question
MSG004710,THR01138,USR0079,ORG025,2026-08-04 18:27,assistant_response
MSG000854,THR00231,USR0093,ORG030,2026-03-22 07:46,assistant_response
MSG000201,THR00059,USR0264,ORG079,2026-01-19 14:45,question
MSG005332,THR01272,USR0268,ORG080,2026-08-21 10:34,assistant_response
MSG004108,THR01008,USR0140,ORG043,2026-07-05 07:26,assistant_response
MSG003339,THR00819,USR0078,ORG025,2026-06-22 21:35,question
MSG004039,THR00993,USR0258,ORG077,2026-07-26 17:14,question
MSG003816,THR00937,USR0133,ORG042,2026-07-21 22:44,assistant_response
MSG003360,THR00823,USR0177,ORG053,2026-06-02 16:00,assistant_response
MSG002250,THR00574,USR0261,ORG078,2026-05-13 17:57,assistant_response
MSG003961,THR00973,USR0233,ORG068,2026-07-04 10:16,question
MSG000360,THR00103,USR0208,ORG061,2026-02-10 21:08,assistant_response
MSG002880,THR00718,USR0014,ORG005,2026-06-12 09:44,assistant_response
MSG000362,THR00104,USR0213,ORG063,2026-02-16 21:13,assistant_response
MSG003121,THR00772,USR0160,ORG048,2026-06-01 16:44,question
MSG000910,THR00246,USR0176,ORG053,2026-03-21 10:53,assistant_response
